epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28982,2.18669,3.25927,1.95923,0.65519,0.19512,0.11385,0.03458,2.13608,8.60337,2.02262,0.00024293,0.00024293,0.00024293
2,12.7882,2.0863,2.33655,1.78909,0.65014,0.13415,0.10173,0.02888,2.44824,4.49939,2.2731,0.000487771,0.000487771,0.000487771
3,17.9677,2.11956,2.24174,1.80662,0.65505,0.10691,0.07893,0.02251,2.73243,10.166,2.75231,0.00071988,0.00071988,0.00071988
4,22.5692,2.10592,2.06904,1.79809,0.51095,0.10366,0.01014,0.00278,2.70915,10.2704,2.68578,0.000939257,0.000939257,0.000939257
5,26.8662,2.10395,2.18317,1.85972,0.0842,0.16741,0.04472,0.01082,2.84261,3.95748,2.84583,0.0011459,0.0011459,0.0011459
6,32.0316,2.13872,2.19204,1.8575,0.54576,0.14024,0.02338,0.00672,2.78274,5.55815,4.08248,0.00125216,0.00125216,0.00125216
7,36.1079,2.10985,2.07617,1.83357,0.08526,0.49335,0.05179,0.01609,2.42826,9.50951,2.4862,0.00121679,0.00121679,0.00121679
8,40.273,2.08014,2.0385,1.84902,0.67826,0.22298,0.16633,0.05408,2.35835,3.6317,2.49707,0.00118143,0.00118143,0.00118143
9,45.5598,2.01437,1.95357,1.81817,0.68575,0.17073,0.14113,0.04661,2.35451,3.48293,2.3932,0.00114606,0.00114606,0.00114606
10,49.6189,2.03702,1.93688,1.79198,0.59597,0.20122,0.0984,0.0304,2.48917,4.49117,2.46238,0.00111069,0.00111069,0.00111069
11,53.794,1.99706,1.96312,1.79443,0.09501,0.39856,0.14715,0.04578,2.37455,3.4669,2.36265,0.00107532,0.00107532,0.00107532
12,59.0599,1.99976,1.87355,1.78053,0.20327,0.23924,0.11663,0.03975,2.44797,3.43845,2.34445,0.00103995,0.00103995,0.00103995
13,63.1193,2.00671,1.78205,1.7415,0.74272,0.20732,0.1796,0.06066,2.4456,2.35557,2.34122,0.00100459,0.00100459,0.00100459
14,67.3342,1.99719,1.82166,1.74785,0.62107,0.19512,0.14992,0.06188,2.31605,2.4403,2.21415,0.000969219,0.000969219,0.000969219
15,73.0613,1.9796,1.80254,1.72817,0.78721,0.16463,0.17674,0.06505,2.36663,2.38891,2.21929,0.000933851,0.000933851,0.000933851
16,77.9126,1.92091,1.72843,1.68815,0.22267,0.33481,0.19851,0.06393,2.38082,2.45627,2.12257,0.000898484,0.000898484,0.000898484
17,83.043,1.91332,1.68721,1.68741,0.31564,0.29545,0.23191,0.07841,2.27676,2.3006,2.16071,0.000863116,0.000863116,0.000863116
18,87.507,1.93629,1.63724,1.69566,0.15188,0.28808,0.16346,0.0683,2.29999,2.46989,2.14839,0.000827748,0.000827748,0.000827748
19,91.5678,1.92689,1.69484,1.73172,0.15739,0.30155,0.16509,0.0523,2.41619,2.34993,2.27783,0.00079238,0.00079238,0.00079238
20,96.9586,1.90842,1.59702,1.72018,0.2164,0.21341,0.17435,0.06199,2.31292,2.39638,2.12971,0.000757013,0.000757013,0.000757013
21,100.996,1.83799,1.5746,1.66584,0.27671,0.21951,0.2073,0.07589,2.28809,2.29776,2.13077,0.000721645,0.000721645,0.000721645
22,105.29,1.80042,1.57426,1.62514,0.18807,0.17073,0.14709,0.06197,2.35606,2.43195,2.22035,0.000686277,0.000686277,0.000686277
23,110.533,1.79725,1.48492,1.61663,0.31475,0.16578,0.19636,0.0742,2.34463,2.28958,2.22103,0.000650909,0.000650909,0.000650909
24,114.891,1.7457,1.47049,1.59404,0.256,0.29545,0.20654,0.07686,2.31736,2.26028,2.18513,0.000615542,0.000615542,0.000615542
